locus_tag	ftype	length_bp	gene	EC_number	COG	product
FCDJCBPM_00169	gene	1290	codB_1			
FCDJCBPM_00170	gene	711				
FCDJCBPM_00171	gene	102				
FCDJCBPM_00172	gene	306				
FCDJCBPM_00173	gene	3738	narZ			
FCDJCBPM_00174	gene	1539	narY			
FCDJCBPM_00175	gene	690	narW			
FCDJCBPM_00176	gene	678	narI			
FCDJCBPM_00177	gene	1008	celY			
FCDJCBPM_00178	gene	483				
FCDJCBPM_00179	gene	3939	acsC			
FCDJCBPM_00180	gene	2751				
FCDJCBPM_00181	gene	2100	acsAB			
FCDJCBPM_00182	gene	801	bcsQ			
FCDJCBPM_00183	gene	840				
FCDJCBPM_00184	gene	1974	pdeK			
FCDJCBPM_00185	gene	1485	yhjJ			
FCDJCBPM_00186	gene	942	kdgK			
FCDJCBPM_00187	gene	2058				
FCDJCBPM_00188	gene	774	cdh			
FCDJCBPM_00189	gene	1323	yhjE			
FCDJCBPM_00190	gene	1092	yhjD			
FCDJCBPM_00191	gene	1353	gor			
FCDJCBPM_00192	gene	843	rlmJ			
FCDJCBPM_00193	gene	519				
FCDJCBPM_00194	gene	1314	codB_2			
FCDJCBPM_00195	gene	669				
FCDJCBPM_00196	gene	1041	cysM_1			
FCDJCBPM_00197	gene	423				
FCDJCBPM_00198	gene	2043	prlC			
FCDJCBPM_00199	gene	765	rsmJ			
FCDJCBPM_00200	gene	1161				
FCDJCBPM_00201	gene	921	oxyR_1			
FCDJCBPM_00201	CDS	921	oxyR_1			Hydrogen peroxide-inducible genes activator
FCDJCBPM_00202	gene	270				
FCDJCBPM_00203	gene	462	uspA			
FCDJCBPM_00204	gene	333	uspB			
FCDJCBPM_00205	gene	1614	pitA_1			
FCDJCBPM_00206	gene	1197				
FCDJCBPM_00207	gene	1137	nicC			
FCDJCBPM_00208	gene	999	mhpB			
FCDJCBPM_00209	gene	885				
FCDJCBPM_00210	gene	417	yjgH			
FCDJCBPM_00211	gene	984	rbsC_1			
FCDJCBPM_00212	gene	1545	fruK_1			
FCDJCBPM_00213	gene	1089				
FCDJCBPM_00214	gene	816	todF			
FCDJCBPM_00215	gene	708	glaR			
FCDJCBPM_00216	gene	483	decR			
FCDJCBPM_00217	gene	1494	lcfB_1			
FCDJCBPM_00218	gene	783	ribX_1			
FCDJCBPM_00219	gene	774	tauB_1			
FCDJCBPM_00220	gene	1080				
FCDJCBPM_00221	gene	435	paaI_1			
FCDJCBPM_00222	gene	1011	ccrA2_1			
FCDJCBPM_00223	gene	885				
FCDJCBPM_00224	gene	642	gstB_1			
FCDJCBPM_00225	gene	978	nlhH			
FCDJCBPM_00226	gene	1209	yhhS_1			
FCDJCBPM_00227	gene	582				
FCDJCBPM_00228	gene	666	yhhQ			
FCDJCBPM_00229	gene	255	tusA			
FCDJCBPM_00230	gene	627				
FCDJCBPM_00231	gene	321				
FCDJCBPM_00232	gene	291				
FCDJCBPM_00233	gene	606	rsmD			
FCDJCBPM_00234	gene	1623	ftsY			
FCDJCBPM_00235	gene	669	ftsE			
FCDJCBPM_00236	gene	1017	ftsX			
FCDJCBPM_00237	gene	858	rpoH			
FCDJCBPM_00238	gene	399	panM			
FCDJCBPM_00239	gene	1323	ugpB_1			
FCDJCBPM_00240	gene	888	ugpA_1			
FCDJCBPM_00241	gene	846	araQ_1			
FCDJCBPM_00242	gene	1224	ugpC_1			
FCDJCBPM_00243	gene	750	ugpQ			
FCDJCBPM_00244	gene	267				
FCDJCBPM_00245	gene	1752	ggt			
FCDJCBPM_00246	gene	966	bioP			
FCDJCBPM_00247	gene	999	pipB2_1			
FCDJCBPM_00248	gene	912	metR			
FCDJCBPM_00249	gene	2277	metE_1			
FCDJCBPM_00250	gene	828				
FCDJCBPM_00251	gene	768	udp			
FCDJCBPM_00252	gene	528	yabI_1			
FCDJCBPM_00253	gene	1611				
FCDJCBPM_00254	gene	759	ubiE			
FCDJCBPM_00255	gene	609	ubiJ_1			
FCDJCBPM_00256	gene	1635	ubiB			
FCDJCBPM_00257	gene	267	tatA_1			
FCDJCBPM_00258	gene	876	tatB			
FCDJCBPM_00259	gene	771	tatC			
FCDJCBPM_00260	gene	492	rfaH			
FCDJCBPM_00261	gene	1485	ubiD_1			
FCDJCBPM_00262	gene	702	fre			
FCDJCBPM_00263	gene	1329	pepQ			
FCDJCBPM_00264	gene	618	yigZ			
FCDJCBPM_00265	gene	1452	trkH			
FCDJCBPM_00266	gene	549	hemG			
FCDJCBPM_00267	gene	1532				
FCDJCBPM_00268	gene	76				
FCDJCBPM_00269	gene	2900				
FCDJCBPM_00270	gene	111				
FCDJCBPM_00271	gene	77				
FCDJCBPM_00272	gene	76				
FCDJCBPM_00273	gene	960	ytfQ			
FCDJCBPM_00274	gene	1521	fruK_2			
FCDJCBPM_00275	gene	1017	ytfT			
FCDJCBPM_00276	gene	1041	yjfF			
FCDJCBPM_00277	gene	825	gltC_1			
FCDJCBPM_00278	gene	339				
FCDJCBPM_00279	gene	1527	comM			
FCDJCBPM_00280	gene	1647	ilvG_1			
FCDJCBPM_00281	gene	258	ilvM			
FCDJCBPM_00282	gene	930	ilvE			
FCDJCBPM_00283	gene	1851	ilvD			
FCDJCBPM_00284	gene	1545	ilvA			
FCDJCBPM_00285	gene	888	oxyR_2			
FCDJCBPM_00285	CDS	888	oxyR_2			Hydrogen peroxide-inducible genes activator
FCDJCBPM_00286	gene	1479	ilvC			
FCDJCBPM_00287	gene	2028	rep			
FCDJCBPM_00288	gene	1500	gppA			
FCDJCBPM_00289	gene	1287	rhlB			
FCDJCBPM_00290	gene	327	trxA			
FCDJCBPM_00291	gene	1260	rho			
FCDJCBPM_00292	gene	387				
FCDJCBPM_00293	gene	1101	wecA			
FCDJCBPM_00294	gene	1053	wzzE			
FCDJCBPM_00295	gene	1125	wecB			
FCDJCBPM_00296	gene	1263	wecC			
FCDJCBPM_00297	gene	1074	rffG			
FCDJCBPM_00298	gene	882	rffH			
FCDJCBPM_00299	gene	744	wecD			
FCDJCBPM_00300	gene	1122	wecE			
FCDJCBPM_00301	gene	1251	wzxE			
FCDJCBPM_00302	gene	1086	wecF			
FCDJCBPM_00303	gene	1350	wzyE			
FCDJCBPM_00304	gene	741	wecG			
FCDJCBPM_00305	gene	77				
FCDJCBPM_00306	gene	76				
FCDJCBPM_00307	gene	87				
FCDJCBPM_00308	gene	77				
FCDJCBPM_00309	gene	888	strE			
FCDJCBPM_00310	gene	1185	arnB_1			
FCDJCBPM_00311	gene	474	nudC_1			
FCDJCBPM_00312	gene	1584	araB_1			
FCDJCBPM_00313	gene	1656				
FCDJCBPM_00314	gene	1347	abaF_1			
FCDJCBPM_00315	gene	918	dapA_1			
FCDJCBPM_00316	gene	1515	thi4			
FCDJCBPM_00317	gene	1230	purR_1			
FCDJCBPM_00318	gene	645	cat_1			
FCDJCBPM_00319	gene	1611	manR_2			
FCDJCBPM_00320	gene	471	manP_1			
FCDJCBPM_00321	gene	315	frwD_2			
FCDJCBPM_00322	gene	1092	fruA_2			
FCDJCBPM_00323	gene	852	gatY_2			
FCDJCBPM_00324	gene	861	fbaA_1			
FCDJCBPM_00325	gene	252				
FCDJCBPM_00326	gene	258				
FCDJCBPM_00327	gene	798	COQ3			
FCDJCBPM_00328	gene	846				
FCDJCBPM_00329	gene	1299	hemY			
FCDJCBPM_00330	gene	1218	hemX			
FCDJCBPM_00331	gene	741	hemD			
FCDJCBPM_00332	gene	963	hemC			
FCDJCBPM_00333	gene	2553	cyaA			
FCDJCBPM_00334	gene	222				
FCDJCBPM_00335	gene	825	dapF			
FCDJCBPM_00336	gene	705				
FCDJCBPM_00337	gene	912	xerC_1			
FCDJCBPM_00338	gene	717	yigB			
FCDJCBPM_00339	gene	2163	uvrD			
FCDJCBPM_00340	gene	951	corA			
FCDJCBPM_00341	gene	1071				
FCDJCBPM_00342	gene	897	rarD			
FCDJCBPM_00343	gene	471				
FCDJCBPM_00344	gene	870	pldA			
FCDJCBPM_00345	gene	1842	recQ			
FCDJCBPM_00346	gene	633	rhtC			
FCDJCBPM_00347	gene	996	pldB			
FCDJCBPM_00348	gene	807	yigL			
FCDJCBPM_00349	gene	696	yhhW			
FCDJCBPM_00350	gene	996	gntR			
FCDJCBPM_00351	gene	1317	gntT_1			
FCDJCBPM_00352	gene	594				
FCDJCBPM_00353	gene	1107	asd			
FCDJCBPM_00354	gene	2190	glgB_1			
FCDJCBPM_00355	gene	1980	glgX_1			
FCDJCBPM_00356	gene	1287	glgC			
FCDJCBPM_00357	gene	1431	glgA			
FCDJCBPM_00358	gene	2448	malP_1			
FCDJCBPM_00359	gene	1509	glpD			
FCDJCBPM_00360	gene	324	glpE_1			
FCDJCBPM_00361	gene	849	glpG			
FCDJCBPM_00362	gene	759	glpR_1			
FCDJCBPM_00363	gene	2409	malP_2			
FCDJCBPM_00364	gene	2148	malQ			
FCDJCBPM_00365	gene	576	nfuA			
FCDJCBPM_00365	CDS	576	nfuA		COG0316	Fe/S biogenesis protein NfuA
FCDJCBPM_00366	gene	684				
FCDJCBPM_00367	gene	774	bioH			
FCDJCBPM_00368	gene	1689	ycjM			
FCDJCBPM_00369	gene	243	feoC			
FCDJCBPM_00370	gene	2307	feoB			
FCDJCBPM_00371	gene	228	feoA			
FCDJCBPM_00372	gene	2340	yhgF			
FCDJCBPM_00373	gene	474	greB			
FCDJCBPM_00374	gene	720	ompR_1			
FCDJCBPM_00375	gene	1383	envZ			
FCDJCBPM_00376	gene	1620	pckA_1			
FCDJCBPM_00377	gene	879	hslO			
FCDJCBPM_00378	gene	423	hslR			
FCDJCBPM_00379	gene	699	yrfG			
FCDJCBPM_00380	gene	2136	igaA			
FCDJCBPM_00381	gene	564	nudE			
FCDJCBPM_00382	gene	2559	mrcA			
FCDJCBPM_00383	gene	870				
FCDJCBPM_00384	gene	537				
FCDJCBPM_00385	gene	687				
FCDJCBPM_00386	gene	1722	sctC_1			
FCDJCBPM_00387	gene	522	aroK_1			
FCDJCBPM_00388	gene	1086	aroB			
FCDJCBPM_00389	gene	1053	damX			
FCDJCBPM_00390	gene	813	dam			
FCDJCBPM_00391	gene	681	rpe			
FCDJCBPM_00392	gene	702	gph_1			
FCDJCBPM_00393	gene	1005	trpS			
FCDJCBPM_00394	gene	1281	codA			
FCDJCBPM_00395	gene	1461	norG			
FCDJCBPM_00396	gene	258				
FCDJCBPM_00397	gene	1011	hoxN			
FCDJCBPM_00398	gene	1185	tsgA			
FCDJCBPM_00399	gene	573	ppiA			
FCDJCBPM_00400	gene	168	yhfG			
FCDJCBPM_00401	gene	603	fic			
FCDJCBPM_00402	gene	582	pabA			
FCDJCBPM_00403	gene	1224	argD_1			
FCDJCBPM_00404	gene	2085				
FCDJCBPM_00405	gene	633	crp			
FCDJCBPM_00406	gene	207				
FCDJCBPM_00407	gene	408	yhfA			
FCDJCBPM_00408	gene	870	cfxP			
FCDJCBPM_00409	gene	222				
FCDJCBPM_00410	gene	603	eamB			
FCDJCBPM_00411	gene	1920	yheS			
FCDJCBPM_00412	gene	567	ywrO			
FCDJCBPM_00413	gene	1845	kefC			
FCDJCBPM_00414	gene	204				
FCDJCBPM_00415	gene	585				
FCDJCBPM_00416	gene	222	slyX			
FCDJCBPM_00417	gene	837	fkpA			
FCDJCBPM_00418	gene	723	dauR			
FCDJCBPM_00419	gene	393	tusD			
FCDJCBPM_00420	gene	360	tusC			
FCDJCBPM_00421	gene	288	tusB			
FCDJCBPM_00422	gene	375	rpsL			
FCDJCBPM_00423	gene	471	rpsG			
FCDJCBPM_00424	gene	2106	fusA_1			
FCDJCBPM_00425	gene	1185	tufB_1			
FCDJCBPM_00426	gene	1224	entS_1			
FCDJCBPM_00427	gene	327				
FCDJCBPM_00428	gene	453				
FCDJCBPM_00429	gene	195	bfd			
FCDJCBPM_00430	gene	480	bfr			
FCDJCBPM_00431	gene	312	rpsJ			
FCDJCBPM_00432	gene	630	rplC			
FCDJCBPM_00433	gene	606	rplD			
FCDJCBPM_00434	gene	303	rplW			
FCDJCBPM_00435	gene	822	rplB			
FCDJCBPM_00436	gene	279	rpsS			
FCDJCBPM_00437	gene	333	rplV			
FCDJCBPM_00438	gene	699	rpsC			
FCDJCBPM_00439	gene	411	rplP			
FCDJCBPM_00440	gene	192	rpmC			
FCDJCBPM_00441	gene	255	rpsQ			
FCDJCBPM_00442	gene	372	rplN			
FCDJCBPM_00443	gene	315	rplX			
FCDJCBPM_00444	gene	540	rplE			
FCDJCBPM_00445	gene	306	rpsN			
FCDJCBPM_00446	gene	393	rpsH			
FCDJCBPM_00447	gene	534	rplF			
FCDJCBPM_00448	gene	354	rplR			
FCDJCBPM_00449	gene	501	rpsE			
FCDJCBPM_00450	gene	435	rplO			
FCDJCBPM_00451	gene	1332	secY			
FCDJCBPM_00452	gene	171				
FCDJCBPM_00453	gene	357	rpsM			
FCDJCBPM_00454	gene	306				
FCDJCBPM_00455	gene	621	rpsD			
FCDJCBPM_00456	gene	990	rpoA			
FCDJCBPM_00457	gene	396	rplQ			
FCDJCBPM_00458	gene	1020				
FCDJCBPM_00459	gene	2193	fhuE_1			
FCDJCBPM_00460	gene	366				
FCDJCBPM_00461	gene	393				
FCDJCBPM_00462	gene	369				
FCDJCBPM_00463	gene	249				
FCDJCBPM_00464	gene	462	mscL			
FCDJCBPM_00465	gene	1377	trkA			
FCDJCBPM_00466	gene	1317	rsmB			
FCDJCBPM_00467	gene	951	fmt			
FCDJCBPM_00468	gene	534	def			
FCDJCBPM_00469	gene	1122				
FCDJCBPM_00470	gene	474	smg			
FCDJCBPM_00471	gene	555	topA_1			
FCDJCBPM_00472	gene	573	tsaC			
FCDJCBPM_00473	gene	819	aroE_1			
FCDJCBPM_00474	gene	258				
FCDJCBPM_00475	gene	579	yrdA_1			
FCDJCBPM_00476	gene	1533				
FCDJCBPM_00477	gene	77				
FCDJCBPM_00478	gene	76				
FCDJCBPM_00479	gene	2901				
FCDJCBPM_00480	gene	111				
FCDJCBPM_00481	gene	76				
FCDJCBPM_00482	gene	111				
FCDJCBPM_00483	gene	1173	mlc_1			
FCDJCBPM_00484	gene	1158				
FCDJCBPM_00485	gene	765	glnQ_1			
FCDJCBPM_00486	gene	1107	yhdY_1			
FCDJCBPM_00487	gene	1179				
FCDJCBPM_00488	gene	1026	yhdW			
FCDJCBPM_00489	gene	213	cspG			
FCDJCBPM_00490	gene	1233	oppA_1			
FCDJCBPM_00491	gene	351	oppA_2			
FCDJCBPM_00492	gene	687				
FCDJCBPM_00493	gene	837				
FCDJCBPM_00494	gene	2370	fimD_1			
FCDJCBPM_00495	gene	579				
FCDJCBPM_00496	gene	705	focC			
FCDJCBPM_00497	gene	297	fis			
FCDJCBPM_00498	gene	861	dusB			
FCDJCBPM_00499	gene	882	prmA			
FCDJCBPM_00500	gene	1443	panF			
FCDJCBPM_00501	gene	243	yhdT			
FCDJCBPM_00502	gene	1350	accC_1			
FCDJCBPM_00503	gene	465	accB_1			
FCDJCBPM_00504	gene	453	aroQ_1			
FCDJCBPM_00505	gene	600	msrQ			
FCDJCBPM_00506	gene	1002	msrP			
FCDJCBPM_00507	gene	1947	csrD			
FCDJCBPM_00508	gene	1044	mreB			
FCDJCBPM_00509	gene	1494				
FCDJCBPM_00510	gene	489	mreD			
FCDJCBPM_00511	gene	570	yhdE			
FCDJCBPM_00512	gene	1470	rng			
FCDJCBPM_00513	gene	3816				
FCDJCBPM_00514	gene	1446	tldD			
FCDJCBPM_00515	gene	927	dmlR_1			
FCDJCBPM_00516	gene	204	aaeX_1			
FCDJCBPM_00517	gene	933	aaeA_1			
FCDJCBPM_00518	gene	1959	aaeB_1			
FCDJCBPM_00519	gene	1458	gabD			
FCDJCBPM_00520	gene	285	yhcO			
FCDJCBPM_00521	gene	549				
FCDJCBPM_00522	gene	1359	pmbA			
FCDJCBPM_00523	gene	405	cybC			
FCDJCBPM_00524	gene	918	panE_1			
FCDJCBPM_00525	gene	1830				
FCDJCBPM_00526	gene	1284				
FCDJCBPM_00527	gene	1101	gldA			
FCDJCBPM_00528	gene	2448				
FCDJCBPM_00529	gene	540	yncA			
FCDJCBPM_00530	gene	279				
FCDJCBPM_00531	gene	789				
FCDJCBPM_00532	gene	1332	proP_2			
FCDJCBPM_00533	gene	1653	mdoD			
FCDJCBPM_00534	gene	978				
FCDJCBPM_00535	gene	768	cmpD_1			
FCDJCBPM_00536	gene	771	ssuC_1			
FCDJCBPM_00537	gene	1137				
FCDJCBPM_00538	gene	1053	exuR			
FCDJCBPM_00539	gene	1473	cat_2			
FCDJCBPM_00540	gene	522				
FCDJCBPM_00541	gene	1311	agp			
FCDJCBPM_00542	gene	552	pitA_2			
FCDJCBPM_00543	gene	561				
FCDJCBPM_00544	gene	426				
FCDJCBPM_00545	gene	762	glnQ_2			
FCDJCBPM_00546	gene	669	yecS_1			
FCDJCBPM_00547	gene	744	glnH_1			
FCDJCBPM_00548	gene	972	speB_1			
FCDJCBPM_00549	gene	924	gltC_2			
FCDJCBPM_00550	gene	261	bhsA_1			
FCDJCBPM_00551	gene	258	bhsA_2			
FCDJCBPM_00552	gene	639	comR_1			
FCDJCBPM_00553	gene	1062	adhC2			
FCDJCBPM_00554	gene	2034				
FCDJCBPM_00555	gene	930	aaeA_2			
FCDJCBPM_00556	gene	210	aaeX_2			
FCDJCBPM_00557	gene	2079	aaeB_2			
FCDJCBPM_00558	gene	486	slyA_1			
FCDJCBPM_00559	gene	921	oxyR_3			
FCDJCBPM_00559	CDS	921	oxyR_3			Hydrogen peroxide-inducible genes activator
FCDJCBPM_00560	gene	1779	ade2			
FCDJCBPM_00561	gene	1347	adeQ_1			
FCDJCBPM_00562	gene	1143	yesR			
FCDJCBPM_00563	gene	1587				
FCDJCBPM_00564	gene	387				
FCDJCBPM_00565	gene	945	ghrB_2			
FCDJCBPM_00566	gene	426				
FCDJCBPM_00567	gene	861	qorB			
FCDJCBPM_00568	gene	414	hxlR			
FCDJCBPM_00569	gene	186				
FCDJCBPM_00570	gene	2364				
FCDJCBPM_00571	gene	1260				
FCDJCBPM_00572	gene	660	ytrE			
FCDJCBPM_00573	gene	1317	moaA_1			
FCDJCBPM_00574	gene	1092	ada_1			
FCDJCBPM_00575	gene	1191	ydcO			
FCDJCBPM_00576	gene	561	sutR_1			
FCDJCBPM_00577	gene	1011	dmsD			
FCDJCBPM_00578	gene	861	dmsC			
FCDJCBPM_00579	gene	618	dmsB			
FCDJCBPM_00580	gene	2445	ynfE			
FCDJCBPM_00581	gene	465	yycN			
FCDJCBPM_00582	gene	1440	phoA			
FCDJCBPM_00583	gene	264				
FCDJCBPM_00584	gene	807				
FCDJCBPM_00585	gene	1263	clsB			
FCDJCBPM_00586	gene	1041	ybhN			
FCDJCBPM_00587	gene	882	phzF			
FCDJCBPM_00588	gene	150				
FCDJCBPM_00589	gene	252				
FCDJCBPM_00590	gene	681	comR_2			
FCDJCBPM_00591	gene	1407	cusC			
FCDJCBPM_00592	gene	3105	mdtC			
FCDJCBPM_00593	gene	3213	mdtB			
FCDJCBPM_00594	gene	1440	mdtA			
FCDJCBPM_00595	gene	882	hilA			
FCDJCBPM_00596	gene	807	rhaS_1			
FCDJCBPM_00597	gene	1632	sctC_2			
FCDJCBPM_00598	gene	2043	invA_1			
FCDJCBPM_00599	gene	402	spaK_1			
FCDJCBPM_00600	gene	1296	spaL_1			
FCDJCBPM_00601	gene	462				
FCDJCBPM_00602	gene	867				
FCDJCBPM_00603	gene	1155				
FCDJCBPM_00604	gene	693	spaP_1			
FCDJCBPM_00605	gene	261	spaQ_1			
FCDJCBPM_00606	gene	798	spaR			
FCDJCBPM_00607	gene	1059	spaS_1			
FCDJCBPM_00608	gene	507	sicA_1			
FCDJCBPM_00609	gene	1191	prgH_1			
FCDJCBPM_00610	gene	255				
FCDJCBPM_00611	gene	312				
FCDJCBPM_00612	gene	762	prgK_1			
FCDJCBPM_00613	gene	600	orgA			
FCDJCBPM_00614	gene	672	orgB			
FCDJCBPM_00615	gene	600				
FCDJCBPM_00616	gene	342				
FCDJCBPM_00617	gene	1449				
FCDJCBPM_00618	gene	1221	dapX			
