locus_tag	ftype	length_bp	gene	EC_number	COG	product
FCDJCBPM_00048	CDS	2004	manR_1		COG1762	Transcriptional regulator ManR
FCDJCBPM_00049	gene	258	ptsH_1			
FCDJCBPM_00049	CDS	258	ptsH_1		COG1925	Phosphocarrier protein HPr
FCDJCBPM_00050	gene	447	mngA			
FCDJCBPM_00050	CDS	447	mngA		COG1299	PTS system 2-O-alpha-mannosyl-D-glycerate-specific EIIABC component
FCDJCBPM_00051	gene	315	frwD_1			
FCDJCBPM_00051	CDS	315	frwD_1	2.7.1.202	COG1445	PTS system fructose-like EIIB component 3
FCDJCBPM_00052	gene	1077	fruA_1			
FCDJCBPM_00052	CDS	1077	fruA_1		COG1299	PTS system fructose-specific EIIB'BC component
FCDJCBPM_00053	gene	1719	ptsI_1			
FCDJCBPM_00053	CDS	1719	ptsI_1	2.7.3.9	COG1080	Phosphoenolpyruvate-protein phosphotransferase
FCDJCBPM_00054	gene	861	gatY_1			
FCDJCBPM_00054	CDS	861	gatY_1	4.1.2.40	COG0191	D-tagatose-1,6-bisphosphate aldolase subunit GatY
FCDJCBPM_00055	gene	408	allA			
FCDJCBPM_00055	CDS	408	allA	4.3.2.3		Ureidoglycolate lyase
FCDJCBPM_00056	gene	1251	phnA			
FCDJCBPM_00056	CDS	1251	phnA	3.11.1.2		Phosphonoacetate hydrolase
FCDJCBPM_00057	gene	810	phnE			
FCDJCBPM_00057	CDS	810	phnE		COG3639	Phosphate-import permease protein PhnE
FCDJCBPM_00058	gene	771	phnC			
FCDJCBPM_00058	CDS	771	phnC	7.3.2.1	COG3638	Phosphate-import ATP-binding protein PhnC
FCDJCBPM_00059	gene	882				
FCDJCBPM_00059	CDS	882				hypothetical protein
FCDJCBPM_00060	gene	675	rspR_2			
FCDJCBPM_00060	CDS	675	rspR_2		COG1802	HTH-type transcriptional repressor RspR
FCDJCBPM_00061	gene	564	hxlB			
FCDJCBPM_00061	CDS	564	hxlB	5.3.1.27	COG0794	3-hexulose-6-phosphate isomerase
FCDJCBPM_00062	gene	642				
FCDJCBPM_00062	CDS	642		4.1.2.43		3-hexulose-6-phosphate synthase
FCDJCBPM_00063	gene	1002	dhaK_1			
FCDJCBPM_00063	CDS	1002	dhaK_1	2.7.1.121	COG2376	PTS-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK
FCDJCBPM_00064	gene	666	dhaL_1			
FCDJCBPM_00064	CDS	666	dhaL_1	2.7.1.121	COG2376	PEP-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL
FCDJCBPM_00065	gene	1140	mtlD_1			
FCDJCBPM_00065	CDS	1140	mtlD_1	1.1.1.17	COG0246	Mannitol-1-phosphate 5-dehydrogenase
FCDJCBPM_00066	gene	816	manZ_2			
FCDJCBPM_00066	CDS	816	manZ_2		COG3716	PTS system mannose-specific EIID component
FCDJCBPM_00067	gene	738	sorA_1			
FCDJCBPM_00067	CDS	738	sorA_1		COG3715	PTS system sorbose-specific EIIC component
FCDJCBPM_00068	gene	498	manX_2			
FCDJCBPM_00068	CDS	498	manX_2	2.7.1.191	COG2893	PTS system mannose-specific EIIAB component
FCDJCBPM_00069	gene	423	manX_3			
FCDJCBPM_00069	CDS	423	manX_3	2.7.1.191	COG2893	PTS system mannose-specific EIIAB component
FCDJCBPM_00070	gene	807	fabG2_1			
FCDJCBPM_00070	CDS	807	fabG2_1	1.-.-.-		putative oxidoreductase
FCDJCBPM_00071	gene	2637	dgaR_1			
FCDJCBPM_00071	CDS	2637	dgaR_1			Transcriptional regulatory protein DagR
FCDJCBPM_00072	gene	1365	mnmE			
FCDJCBPM_00072	CDS	1365	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
FCDJCBPM_00073	gene	1644	yidC			
FCDJCBPM_00073	CDS	1644	yidC			Membrane protein insertase YidC
FCDJCBPM_00074	gene	786	rnpA			
FCDJCBPM_00074	CDS	786	rnpA	3.1.26.5		Ribonuclease P protein component
FCDJCBPM_00075	gene	1395	dnaA			
FCDJCBPM_00075	CDS	1395	dnaA		COG0593	Chromosomal replication initiator protein DnaA
FCDJCBPM_00076	gene	1101	dnaN			
FCDJCBPM_00076	CDS	1101	dnaN		COG0592	Beta sliding clamp
FCDJCBPM_00077	gene	1095	recF_1			
FCDJCBPM_00077	CDS	1095	recF_1		COG1195	DNA replication and repair protein RecF
FCDJCBPM_00078	gene	2415	gyrB			
FCDJCBPM_00078	CDS	2415	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
FCDJCBPM_00079	gene	843	yidA			
FCDJCBPM_00079	CDS	843	yidA	3.1.3.23	COG0561	Sugar phosphatase YidA
FCDJCBPM_00080	gene	699	lutR_1			
FCDJCBPM_00080	CDS	699	lutR_1		COG2186	HTH-type transcriptional regulator LutR
FCDJCBPM_00081	gene	894	dgoK1			
FCDJCBPM_00081	CDS	894	dgoK1	2.7.1.58	COG3734	putative 2-dehydro-3-deoxygalactonokinase DgoK1
FCDJCBPM_00082	gene	621	dgoA			
FCDJCBPM_00082	CDS	621	dgoA	4.1.2.21	COG0800	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
FCDJCBPM_00083	gene	1125				
FCDJCBPM_00083	CDS	1125				hypothetical protein
FCDJCBPM_00084	gene	1149	dgoD_1			
FCDJCBPM_00084	CDS	1149	dgoD_1	4.2.1.6	COG4948	D-galactonate dehydratase
FCDJCBPM_00085	gene	1296	dgoT_1			
FCDJCBPM_00085	CDS	1296	dgoT_1			D-galactonate transporter
FCDJCBPM_00086	gene	1902				
FCDJCBPM_00086	CDS	1902				hypothetical protein
FCDJCBPM_00087	gene	285				
FCDJCBPM_00087	CDS	285				hypothetical protein
FCDJCBPM_00088	gene	414	ibpA			
FCDJCBPM_00088	CDS	414	ibpA		COG0071	Small heat shock protein IbpA
FCDJCBPM_00089	gene	456	ibpB			
FCDJCBPM_00089	CDS	456	ibpB		COG0071	Small heat shock protein IbpB
FCDJCBPM_00090	gene	1287	avtA			
FCDJCBPM_00090	CDS	1287	avtA	2.6.1.66	COG3977	Valine--pyruvate aminotransferase
FCDJCBPM_00091	gene	1002				
FCDJCBPM_00091	CDS	1002				hypothetical protein
FCDJCBPM_00092	gene	981	ghrB_1			
FCDJCBPM_00092	CDS	981	ghrB_1	1.1.1.79	COG1052	Glyoxylate/hydroxypyruvate reductase B
FCDJCBPM_00093	gene	453				
FCDJCBPM_00093	CDS	453				hypothetical protein
FCDJCBPM_00094	gene	915	glyQ			
FCDJCBPM_00094	CDS	915	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
FCDJCBPM_00095	gene	2070	glyS			
FCDJCBPM_00095	CDS	2070	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
FCDJCBPM_00096	gene	726				
FCDJCBPM_00096	CDS	726				hypothetical protein
FCDJCBPM_00097	gene	1926	mtlA			
FCDJCBPM_00097	CDS	1926	mtlA		COG2213	PTS system mannitol-specific EIICBA component
FCDJCBPM_00098	gene	1149	mtlD_2			
FCDJCBPM_00098	CDS	1149	mtlD_2	1.1.1.17	COG0246	Mannitol-1-phosphate 5-dehydrogenase
FCDJCBPM_00099	gene	588	mtlR			
FCDJCBPM_00099	CDS	588	mtlR		COG3722	Mannitol operon repressor
FCDJCBPM_00100	gene	618	sodA			
FCDJCBPM_00100	CDS	618	sodA	1.15.1.1	COG0605	Superoxide dismutase [Mn]
FCDJCBPM_00101	gene	828	fdhD			
FCDJCBPM_00101	CDS	828	fdhD		COG1526	Sulfur carrier protein FdhD
FCDJCBPM_00102	gene	603				
FCDJCBPM_00102	CDS	603				hypothetical protein
FCDJCBPM_00103	gene	642	yibF_1			
FCDJCBPM_00103	CDS	642	yibF_1		COG0625	putative GST-like protein YibF
FCDJCBPM_00104	gene	1539	aldB			
FCDJCBPM_00104	CDS	1539	aldB	1.2.1.-	COG1012	Aldehyde dehydrogenase B
FCDJCBPM_00105	gene	1245	mdfA			
FCDJCBPM_00105	CDS	1245	mdfA			Multidrug transporter MdfA
FCDJCBPM_00106	gene	1011	wecH_1			
FCDJCBPM_00106	CDS	1011	wecH_1	2.3.1.-	COG3274	O-acetyltransferase WecH
FCDJCBPM_00107	gene	927	cdhR_2			
FCDJCBPM_00107	CDS	927	cdhR_2		COG4977	HTH-type transcriptional regulator CdhR
FCDJCBPM_00108	gene	1020				
FCDJCBPM_00108	CDS	1020				hypothetical protein
FCDJCBPM_00109	gene	588	yajL_1			
FCDJCBPM_00109	CDS	588	yajL_1	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3
FCDJCBPM_00110	gene	357				
FCDJCBPM_00110	CDS	357				hypothetical protein
FCDJCBPM_00111	gene	1527				
FCDJCBPM_00111	CDS	1527				hypothetical protein
FCDJCBPM_00112	gene	393	fosB			
FCDJCBPM_00112	CDS	393	fosB	2.5.1.-		Metallothiol transferase FosB
FCDJCBPM_00113	gene	519				
FCDJCBPM_00113	CDS	519				hypothetical protein
FCDJCBPM_00114	gene	600				
FCDJCBPM_00114	CDS	600				hypothetical protein
FCDJCBPM_00115	gene	93				
FCDJCBPM_00115	CDS	93				hypothetical protein
FCDJCBPM_00116	gene	1209	sbnD_1			
FCDJCBPM_00116	CDS	1209	sbnD_1			Staphyloferrin B transporter
FCDJCBPM_00117	gene	609				
FCDJCBPM_00117	CDS	609				hypothetical protein
FCDJCBPM_00118	gene	459	ohrR_1			
FCDJCBPM_00118	CDS	459	ohrR_1			Organic hydroperoxide resistance transcriptional regulator
FCDJCBPM_00119	gene	432	ohrB			
FCDJCBPM_00119	CDS	432	ohrB		COG1764	Organic hydroperoxide resistance protein OhrB
FCDJCBPM_00120	gene	1704	eptB			
FCDJCBPM_00120	CDS	1704	eptB	2.7.8.42	COG2194	Kdo(2)-lipid A phosphoethanolamine 7''-transferase
FCDJCBPM_00121	gene	77				
FCDJCBPM_00121	tRNA	77				tRNA-Pro(cgg)
FCDJCBPM_00122	gene	345	flhD_1			
FCDJCBPM_00122	CDS	345	flhD_1			Flagellar transcriptional regulator FlhD
FCDJCBPM_00123	gene	573	flhC_1			
FCDJCBPM_00123	CDS	573	flhC_1			Flagellar transcriptional regulator FlhC
FCDJCBPM_00124	gene	897	motA_1			
FCDJCBPM_00124	CDS	897	motA_1		COG1291	Motility protein A
FCDJCBPM_00125	gene	1242				
FCDJCBPM_00125	CDS	1242				hypothetical protein
FCDJCBPM_00126	gene	1164	flhB_1			
FCDJCBPM_00126	CDS	1164	flhB_1		COG1377	Flagellar biosynthetic protein FlhB
FCDJCBPM_00127	gene	2097	flhA_1			
FCDJCBPM_00127	CDS	2097	flhA_1		COG1298	Flagellar biosynthesis protein FlhA
FCDJCBPM_00128	gene	444	flgN_1			
FCDJCBPM_00128	CDS	444	flgN_1		COG3418	Flagella synthesis protein FlgN
FCDJCBPM_00129	gene	276				
FCDJCBPM_00129	CDS	276				hypothetical protein
FCDJCBPM_00130	gene	717	flgA			
FCDJCBPM_00130	CDS	717	flgA		COG1261	Flagella basal body P-ring formation protein FlgA
FCDJCBPM_00131	gene	414	flgB_1			
FCDJCBPM_00131	CDS	414	flgB_1		COG1815	Flagellar basal body rod protein FlgB
FCDJCBPM_00132	gene	405	flgC_1			
FCDJCBPM_00132	CDS	405	flgC_1		COG1558	Flagellar basal-body rod protein FlgC
FCDJCBPM_00133	gene	819				
FCDJCBPM_00133	CDS	819				hypothetical protein
FCDJCBPM_00134	gene	1227	flgE_1			
FCDJCBPM_00134	CDS	1227	flgE_1		COG1749	Flagellar hook protein FlgE
FCDJCBPM_00135	gene	759	flgF_1			
FCDJCBPM_00135	CDS	759	flgF_1		COG4787	Flagellar basal-body rod protein FlgF
FCDJCBPM_00136	gene	783	flgG_1			
FCDJCBPM_00136	CDS	783	flgG_1		COG4786	Flagellar basal-body rod protein FlgG
FCDJCBPM_00137	gene	753	flgH_1			
FCDJCBPM_00137	CDS	753	flgH_1			Flagellar L-ring protein
FCDJCBPM_00138	gene	1119	flgI_1			
FCDJCBPM_00138	CDS	1119	flgI_1			Flagellar P-ring protein
FCDJCBPM_00139	gene	951	flgJ_1			
FCDJCBPM_00139	CDS	951	flgJ_1	3.2.1.-	COG1705	Peptidoglycan hydrolase FlgJ
FCDJCBPM_00140	gene	1671	flgK_1			
FCDJCBPM_00140	CDS	1671	flgK_1		COG1256	Flagellar hook-associated protein 1
FCDJCBPM_00141	gene	939	flgL_1			
FCDJCBPM_00141	CDS	939	flgL_1		COG1344	Flagellar hook-associated protein 3
FCDJCBPM_00142	gene	789	fliR_1			
FCDJCBPM_00142	CDS	789	fliR_1		COG1684	Flagellar biosynthetic protein FliR
FCDJCBPM_00143	gene	270	fliQ_1			
FCDJCBPM_00143	CDS	270	fliQ_1		COG1987	Flagellar biosynthetic protein FliQ
FCDJCBPM_00144	gene	804	fliP_1			
FCDJCBPM_00144	CDS	804	fliP_1		COG1338	Flagellar biosynthetic protein FliP
FCDJCBPM_00145	gene	375				
FCDJCBPM_00145	CDS	375				hypothetical protein
FCDJCBPM_00146	gene	405				
FCDJCBPM_00146	CDS	405				hypothetical protein
FCDJCBPM_00147	gene	1014	fliM_1			
FCDJCBPM_00147	CDS	1014	fliM_1		COG1868	Flagellar motor switch protein FliM
FCDJCBPM_00148	gene	489				
FCDJCBPM_00148	CDS	489				hypothetical protein
FCDJCBPM_00149	gene	1248				
FCDJCBPM_00149	CDS	1248				hypothetical protein
FCDJCBPM_00150	gene	450	fliJ_1			
FCDJCBPM_00150	CDS	450	fliJ_1		COG2882	Flagellar FliJ protein
FCDJCBPM_00151	gene	1377	fliI_1			
FCDJCBPM_00151	CDS	1377	fliI_1	7.1.2.2	COG1157	Flagellum-specific ATP synthase
FCDJCBPM_00152	gene	714	fliH_1			
FCDJCBPM_00152	CDS	714	fliH_1		COG1317	Flagellar assembly protein FliH
FCDJCBPM_00153	gene	990	fliG_1			
FCDJCBPM_00153	CDS	990	fliG_1		COG1536	Flagellar motor switch protein FliG
FCDJCBPM_00154	gene	1710	fliF_1			
FCDJCBPM_00154	CDS	1710	fliF_1		COG1766	Flagellar M-ring protein
FCDJCBPM_00155	gene	324	fliE_1			
FCDJCBPM_00155	CDS	324	fliE_1		COG1677	Flagellar hook-basal body complex protein FliE
FCDJCBPM_00156	gene	153				
FCDJCBPM_00156	CDS	153				hypothetical protein
FCDJCBPM_00157	gene	342	fliT_1			
FCDJCBPM_00157	CDS	342	fliT_1			Flagellar protein FliT
FCDJCBPM_00158	gene	390	fliS_1			
FCDJCBPM_00158	CDS	390	fliS_1		COG1516	Flagellar secretion chaperone FliS
FCDJCBPM_00159	gene	1446	fliD_1			
FCDJCBPM_00159	CDS	1446	fliD_1		COG1345	Flagellar hook-associated protein 2
FCDJCBPM_00160	gene	1293	fliC_1			
FCDJCBPM_00160	CDS	1293	fliC_1		COG1344	Flagellin
FCDJCBPM_00161	gene	1263	fliC_2			
FCDJCBPM_00161	CDS	1263	fliC_2		COG1344	Flagellin
FCDJCBPM_00162	gene	726	fliA_1			
FCDJCBPM_00162	CDS	726	fliA_1		COG1191	RNA polymerase sigma factor FliA
FCDJCBPM_00163	gene	1608	dppA_1			
FCDJCBPM_00163	CDS	1608	dppA_1		COG0747	Periplasmic dipeptide transport protein
FCDJCBPM_00164	gene	1020	dppB_1			
FCDJCBPM_00164	CDS	1020	dppB_1		COG0601	Dipeptide transport system permease protein DppB
FCDJCBPM_00165	gene	906	dppC_1			
FCDJCBPM_00165	CDS	906	dppC_1		COG1173	Dipeptide transport system permease protein DppC
FCDJCBPM_00166	gene	981	dppD_1			
FCDJCBPM_00166	CDS	981	dppD_1		COG0444	Dipeptide transport ATP-binding protein DppD
FCDJCBPM_00167	gene	1011	oppF_1			
FCDJCBPM_00167	CDS	1011	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
FCDJCBPM_00168	gene	789				
FCDJCBPM_00168	CDS	789				hypothetical protein
FCDJCBPM_00169	gene	1290	codB_1			
FCDJCBPM_00169	CDS	1290	codB_1		COG1457	Cytosine permease
FCDJCBPM_00170	gene	711				
FCDJCBPM_00170	CDS	711				hypothetical protein
FCDJCBPM_00171	gene	102				
FCDJCBPM_00171	CDS	102				hypothetical protein
FCDJCBPM_00172	gene	306				
FCDJCBPM_00172	CDS	306				hypothetical protein
FCDJCBPM_00173	gene	3738	narZ			
FCDJCBPM_00173	CDS	3738	narZ	1.7.5.1	COG5013	Respiratory nitrate reductase 2 alpha chain
FCDJCBPM_00174	gene	1539	narY			
FCDJCBPM_00174	CDS	1539	narY	1.7.5.1	COG1140	Respiratory nitrate reductase 2 beta chain
FCDJCBPM_00175	gene	690	narW			
FCDJCBPM_00175	CDS	690	narW		COG2180	putative nitrate reductase molybdenum cofactor assembly chaperone NarW
FCDJCBPM_00176	gene	678	narI			
FCDJCBPM_00176	CDS	678	narI	1.7.5.1	COG2181	Respiratory nitrate reductase 1 gamma chain
FCDJCBPM_00177	gene	1008	celY			
FCDJCBPM_00177	CDS	1008	celY	3.2.1.4	COG3405	Minor endoglucanase Y
FCDJCBPM_00178	gene	483				
FCDJCBPM_00178	CDS	483				hypothetical protein
FCDJCBPM_00179	gene	3939	acsC			
FCDJCBPM_00179	CDS	3939	acsC			Cellulose synthase operon protein C
FCDJCBPM_00180	gene	2751				
FCDJCBPM_00180	CDS	2751				hypothetical protein
FCDJCBPM_00181	gene	2100	acsAB			
FCDJCBPM_00181	CDS	2100	acsAB			Cellulose synthase 1
FCDJCBPM_00182	gene	801	bcsQ			
FCDJCBPM_00182	CDS	801	bcsQ			Cellulose biosynthesis protein BcsQ
FCDJCBPM_00183	gene	840				
FCDJCBPM_00183	CDS	840				hypothetical protein
FCDJCBPM_00184	gene	1974	pdeK			
FCDJCBPM_00184	CDS	1974	pdeK	3.1.4.52		putative cyclic di-GMP phosphodiesterase PdeK
FCDJCBPM_00185	gene	1485	yhjJ			
FCDJCBPM_00185	CDS	1485	yhjJ		COG0612	Protein YhjJ
FCDJCBPM_00186	gene	942	kdgK			
FCDJCBPM_00186	CDS	942	kdgK	2.7.1.45	COG0524	2-dehydro-3-deoxygluconokinase
FCDJCBPM_00187	gene	2058				
FCDJCBPM_00187	CDS	2058				hypothetical protein
FCDJCBPM_00188	gene	774	cdh			
FCDJCBPM_00188	CDS	774	cdh	3.6.1.26	COG2134	CDP-diacylglycerol pyrophosphatase
FCDJCBPM_00189	gene	1323	yhjE			
FCDJCBPM_00189	CDS	1323	yhjE			Inner membrane metabolite transport protein YhjE
FCDJCBPM_00190	gene	1092	yhjD			
FCDJCBPM_00190	CDS	1092	yhjD		COG1295	Inner membrane protein YhjD
FCDJCBPM_00191	gene	1353	gor			
FCDJCBPM_00191	CDS	1353	gor	1.8.1.7	COG1249	Glutathione reductase
FCDJCBPM_00192	gene	843	rlmJ			
FCDJCBPM_00192	CDS	843	rlmJ	2.1.1.266	COG2961	Ribosomal RNA large subunit methyltransferase J
FCDJCBPM_00193	gene	519				
FCDJCBPM_00193	CDS	519				hypothetical protein
FCDJCBPM_00194	gene	1314	codB_2			
FCDJCBPM_00194	CDS	1314	codB_2		COG1457	Cytosine permease
FCDJCBPM_00195	gene	669				
FCDJCBPM_00195	CDS	669				hypothetical protein
FCDJCBPM_00196	gene	1041	cysM_1			
FCDJCBPM_00196	CDS	1041	cysM_1	2.5.1.47	COG0031	Cysteine synthase B
FCDJCBPM_00197	gene	423				
FCDJCBPM_00197	CDS	423				hypothetical protein
FCDJCBPM_00198	gene	2043	prlC			
FCDJCBPM_00198	CDS	2043	prlC	3.4.24.70	COG0339	Oligopeptidase A
FCDJCBPM_00199	gene	765	rsmJ			
FCDJCBPM_00199	CDS	765	rsmJ	2.1.1.242		Ribosomal RNA small subunit methyltransferase J
FCDJCBPM_00200	gene	1161				
FCDJCBPM_00200	CDS	1161		1.17.1.9		Formate dehydrogenase
FCDJCBPM_00201	gene	921	oxyR_1			
FCDJCBPM_00201	CDS	921	oxyR_1			Hydrogen peroxide-inducible genes activator
FCDJCBPM_00202	gene	270				
FCDJCBPM_00202	CDS	270				hypothetical protein
FCDJCBPM_00203	gene	462	uspA			
FCDJCBPM_00203	CDS	462	uspA		COG0589	Universal stress protein A
FCDJCBPM_00204	gene	333	uspB			
FCDJCBPM_00204	CDS	333	uspB			Universal stress protein B
FCDJCBPM_00205	gene	1614	pitA_1			
FCDJCBPM_00205	CDS	1614	pitA_1		COG0306	Low-affinity inorganic phosphate transporter 1
FCDJCBPM_00206	gene	1197				
FCDJCBPM_00206	CDS	1197			COG2081	putative protein
FCDJCBPM_00207	gene	1137	nicC			
FCDJCBPM_00207	CDS	1137	nicC	1.14.13.114		6-hydroxynicotinate 3-monooxygenase
FCDJCBPM_00208	gene	999	mhpB			
FCDJCBPM_00208	CDS	999	mhpB	1.13.11.16		2,3-dihydroxyphenylpropionate/2,3-dihydroxicinnamic acid 1,2-dioxygenase
FCDJCBPM_00209	gene	885				
FCDJCBPM_00209	CDS	885				hypothetical protein
FCDJCBPM_00210	gene	417	yjgH			
FCDJCBPM_00210	CDS	417	yjgH		COG0251	RutC family protein YjgH
FCDJCBPM_00211	gene	984	rbsC_1			
FCDJCBPM_00211	CDS	984	rbsC_1		COG1172	Ribose import permease protein RbsC
FCDJCBPM_00212	gene	1545	fruK_1			
FCDJCBPM_00212	CDS	1545	fruK_1	7.5.2.-	COG1129	Fructose import ATP-binding protein FruK
FCDJCBPM_00213	gene	1089				
FCDJCBPM_00213	CDS	1089				hypothetical protein
FCDJCBPM_00214	gene	816	todF			
